disease_name,symptoms,source,symptoms,processed_symptoms,named_entities
adhesive capsulitis,"Adhesive capsulitis may last from several months to years before it gets better on its own. You can have adhesive capsulitis in one or both shoulders. The condition has 3 stages: Stage 1 is called the freezing or painful stage and may last 2 to 9 months. Stage 2 is called the adhesive stage and may last 4 to 12 months. You may have less pain. You may still have pain when you move your arm to reach. Your shoulder may still be stiff, and you may not be able to move your shoulder much. Stage 3 is the recovery stage and may last from 5 months to more than 2 years. Your shoulder movement may slowly start to get better. You may also begin to have less pain.",drugs-com,"adhesive capsulitis may last from several months to years before it gets better on its own. you can have adhesive capsulitis in one or both shoulders. the condition has 3 stages: stage 1 is called the freezing or painful stage and may last 2 to 9 months. stage 2 is called the adhesive stage and may last 4 to 12 months. you may have less pain. you may still have pain when you move your arm to reach. your shoulder may still be stiff, and you may not be able to move your shoulder much. stage 3 is the recovery stage and may last from 5 months to more than 2 years. your shoulder movement may slowly start to get better. you may also begin to have less pain.",adhesive capsulitis month year get well adhesive capsulitis shoulder condition 3 stage stage 1 call freezing painful stage 2 9 month stage 2 call adhesive stage 4 12 month pain pain arm reach shoulder stiff able shoulder stage 3 recovery stage 5 month 2 year shoulder movement slowly start well begin pain,"['adhesive capsulitis', 'months', 'years', 'adhesive capsulitis', 'shoulders', 'condition', 'stages', 'stage', 'freezing', 'painful stage', 'months', 'stage 2', 'adhesive stage', 'months', 'less pain', 'pain', 'shoulder', 'stiff', 'shoulder', 'stage 3', 'recovery stage', 'months', 'years', 'shoulder', 'movement', 'pain']"
adrenal insufficiency in children,"Signs and symptoms depend on your child's age: Newborns and infants:
Weakness
Vomiting or feeding problems
Dry skin and lips Weakness Vomiting or feeding problems Dry skin and lips Older children:
Stomach pain, muscle weakness, or muscle pains
Tiredness, dizziness, or trouble thinking clearly
Craving salty foods, decrease in appetite, or weight loss
Decreased or absent pubic hairs
Skin color changes, especially on sun-exposed areas Stomach pain, muscle weakness, or muscle pains Tiredness, dizziness, or trouble thinking clearly Craving salty foods, decrease in appetite, or weight loss Decreased or absent pubic hairs Skin color changes, especially on sun-exposed areas",drugs-com,"signs and symptoms depend on your child's age: newborns and infants:
weakness
vomiting or feeding problems
dry skin and lips weakness vomiting or feeding problems dry skin and lips older children:
stomach pain, muscle weakness, or muscle pains
tiredness, dizziness, or trouble thinking clearly
craving salty foods, decrease in appetite, or weight loss
decreased or absent pubic hairs
skin color changes, especially on sun-exposed areas stomach pain, muscle weakness, or muscle pains tiredness, dizziness, or trouble thinking clearly craving salty foods, decrease in appetite, or weight loss decreased or absent pubic hairs skin color changes, especially on sun-exposed areas","sign symptom depend child age newborn infant 
 weakness 
 vomiting feeding problem 
 dry skin lip weakness vomiting feeding problem dry skin lip old child 
 stomach pain muscle weakness muscle pain 
 tiredness dizziness trouble thinking clearly 
 crave salty food decrease appetite weight loss 
 decrease absent pubic hair 
 skin color change especially sun-exposed area stomach pain muscle weakness muscle pain tiredness dizziness trouble think clearly crave salty food decrease appetite weight loss decrease absent pubic hair skin color change especially sun-exposed area","['signs', 'symptoms', ""child's"", 'age', 'newborns', 'infants', 'feeding problems', 'dry skin', 'lips weakness vomiting', 'feeding problems', 'dry skin', 'lips older children', 'stomach pain', 'muscle weakness', 'muscle pains', 'tiredness', 'dizziness', 'craving salty foods', 'decrease', 'appetite', 'weight loss', 'decreased', 'absent', 'pubic', 'hairs', 'skin color', 'changes', 'sun-exposed areas', 'stomach pain', 'muscle weakness', 'muscle pains tiredness', 'dizziness', 'craving', 'salty foods', 'decrease', 'appetite', 'weight loss', 'decreased', 'absent', 'pubic', 'hairs', 'skin color', 'changes', 'sun-exposed areas']"
adrenal pheochromocytoma,"The most common sign is sudden and repeated attacks of high blood pressure. The high blood pressure can cause a severe headache and increase your heart rate, palpitations, and sweating. These attacks may occur every day or every few months. You may also have any of the following: Fatigue and body weakness Flushed or pale skin Nausea, vomiting, or a fever Nervousness and anxiety Pain in the abdomen, chest, lower back, or groin Trouble breathing Weight loss",drugs-com,"the most common sign is sudden and repeated attacks of high blood pressure. the high blood pressure can cause a severe headache and increase your heart rate, palpitations, and sweating. these attacks may occur every day or every few months. you may also have any of the following: fatigue and body weakness flushed or pale skin nausea, vomiting, or a fever nervousness and anxiety pain in the abdomen, chest, lower back, or groin trouble breathing weight loss",common sign sudden repeated attack high blood pressure high blood pressure cause severe headache increase heart rate palpitation sweating attack occur day month following fatigue body weakness flush pale skin nausea vomiting fever nervousness anxiety pain abdoman chest low groin trouble breathing weight loss,"['sign', 'sudden', 'attacks', 'high blood pressure', 'high blood pressure', 'severe', 'headache', 'increase', 'heart rate', 'palpitations', 'sweating', 'attacks', 'day', 'months', 'fatigue', 'body weakness', 'flushed', 'pale skin nausea', 'vomiting', 'fever', 'nervousness', 'anxiety pain', 'abdomen', 'chest', 'lower back', 'groin']"
adult congenital heart disease,"You might be having symptoms for the first time as an adult. You might be having symptoms even if you had a heart defect repaired as a child. Shortness of breath, or becoming tired when you exercise Abnormal heart rhythm Blue skin or nails Swelling in your legs, ankles, or fingers Feeling dizzy or faint",drugs-com,"you might be having symptoms for the first time as an adult. you might be having symptoms even if you had a heart defect repaired as a child. shortness of breath, or becoming tired when you exercise abnormal heart rhythm blue skin or nails swelling in your legs, ankles, or fingers feeling dizzy or faint",have symptom time adult have symptom heart defect repair child shortness breath tired exercise abnormal heart rhythm blue skin nail swell leg ankle finger feel dizzy faint,"['symptoms', 'adult', 'symptoms', 'heart defect', 'repaired', 'child', 'shortness of breath', 'tired', 'exercise', 'abnormal heart rhythm', 'blue skin', 'nails swelling', 'legs', 'ankles', 'fingers', 'dizzy', 'faint']"
adult-onset still disease,"A high spiking fever (over 102Â°F or 38.9Â°C) every day at the same time Stiff, warm, and swollen joints, sometimes with red skin over the joints Hives, or a rash on your arms, legs, and trunk that is salmon colored with raised patches Severe throat pain, swollen glands, or pain in your abdomen Muscle pain or stiffness Feeling more tired than usual Loss of appetite, or weight loss without trying",drugs-com,"a high spiking fever (over 102â°f or 38.9â°c) every day at the same time stiff, warm, and swollen joints, sometimes with red skin over the joints hives, or a rash on your arms, legs, and trunk that is salmon colored with raised patches severe throat pain, swollen glands, or pain in your abdomen muscle pain or stiffness feeling more tired than usual loss of appetite, or weight loss without trying",high spiking fever 102â ° f 38.9â ° c day time stiff warm swollen joint red skin joint hive rash arm leg trunk salmon color raise patch severe throat pain swollen gland pain abdoman muscle pain stiffness feel tired usual loss appetite weight loss try,"['day', 'time stiff', 'warm', 'swollen joints', 'red skin', 'joints hives', 'rash', 'arms', 'legs', 'trunk', 'salmon colored', 'severe', 'throat pain', 'swollen glands', 'pain', 'abdomen muscle', 'stiffness', 'tired', 'loss of appetite', 'weight loss']"
adverse drug reaction,"Mild symptoms include red, itchy, flaky, or swollen skin. You may have a flat, red area on your skin that is covered with small bumps. You may also have hives. Severe symptoms include skin that blisters or peels, vision problems, and severe swelling or itching. Severe reactions include conditions such as toxic epidermal necrolysis (TEN). Ask your healthcare provider for more information on TEN and other serious conditions. Anaphylaxis symptoms include throat tightness, trouble breathing, tingling, dizziness, and wheezing. Anaphylaxis is a sudden, life-threatening reaction that needs immediate treatment. Anaphylaxis may occur if you exercise after exposure to another trigger, such as after you take an antibiotic.",drugs-com,"mild symptoms include red, itchy, flaky, or swollen skin. you may have a flat, red area on your skin that is covered with small bumps. you may also have hives. severe symptoms include skin that blisters or peels, vision problems, and severe swelling or itching. severe reactions include conditions such as toxic epidermal necrolysis (ten). ask your healthcare provider for more information on ten and other serious conditions. anaphylaxis symptoms include throat tightness, trouble breathing, tingling, dizziness, and wheezing. anaphylaxis is a sudden, life-threatening reaction that needs immediate treatment. anaphylaxis may occur if you exercise after exposure to another trigger, such as after you take an antibiotic.",mild symptom include red itchy flaky swollen skin flat red area skin cover small bump hive severe symptom include skin blister peel vision problem severe swelling itching severe reaction include condition toxic epidermal necrolysis ask healthcare provider information condition anaphylaxis symptom include throat tightness trouble breathing tingling dizziness wheezing anaphylaxis sudden life-threatening reaction need immediate treatment anaphylaxis occur exercise exposure trigger antibiotic,"['mild', 'symptoms', 'red', 'itchy', 'flaky', 'swollen skin', 'flat', 'red area', 'skin', 'small bumps', 'hives', 'severe', 'symptoms', 'skin', 'blisters', 'peels', 'vision problems', 'severe', 'swelling', 'itching', 'severe', 'conditions', 'toxic epidermal necrolysis', 'healthcare provider', 'information', 'serious conditions', 'anaphylaxis', 'symptoms', 'throat tightness', 'trouble breathing', 'tingling', 'dizziness', 'wheezing', 'anaphylaxis', 'sudden', 'life-threatening reaction', 'immediate', 'treatment', 'anaphylaxis', 'exercise', 'exposure', 'trigger', 'antibiotic']"
agoraphobia,Dizziness and shaking Diarrhea Fast heartbeat Sweating Thoughts that you are losing control Trouble breathing or chest pain,drugs-com,dizziness and shaking diarrhea fast heartbeat sweating thoughts that you are losing control trouble breathing or chest pain,dizziness shake diarrhea fast heartbeat sweating thought lose control trouble breathing chest pain,"['dizziness', 'shaking diarrhea', 'fast heartbeat', 'sweating thoughts', 'chest pain']"
aids,"The following signs and symptoms are common when you have AIDS or infections or cancer caused by AIDS: Extreme tiredness Chronic diarrhea Weight loss White spots, sores, or hairy patches inside your mouth Trouble breathing Coughing up blood Fever that lasts longer than 1 month, and night sweats Rash, blisters, bruises, or other skin changes Hair loss or vision loss Confusion and memory loss",drugs-com,"the following signs and symptoms are common when you have aids or infections or cancer caused by aids: extreme tiredness chronic diarrhea weight loss white spots, sores, or hairy patches inside your mouth trouble breathing coughing up blood fever that lasts longer than 1 month, and night sweats rash, blisters, bruises, or other skin changes hair loss or vision loss confusion and memory loss",follow sign symptom common aid infection cancer cause aid extreme tiredness chronic diarrhea weight loss white spot sore hairy patch inside mouth trouble breathing cough blood fever last long 1 month night sweat rash blister bruise skin change hair loss vision loss confusion memory loss,"['signs', 'symptoms', 'aids', 'infections', 'cancer', 'extreme tiredness chronic diarrhea', 'weight loss', 'sores', 'hairy patches', 'mouth', 'breathing coughing', 'blood fever', 'month', 'night sweats rash', 'blisters', 'bruises', 'skin', 'hair loss', 'vision loss', 'confusion', 'memory loss']"
alcohol intoxication,"Breath that smells like alcohol Blackouts or seizures Enlarged pupils, or eye movements that are faster than normal for you Fast heartbeat and slow breaths Loss of balance, or no ability to walk straight or stand still Nausea and vomiting Slurred or loud speech Quick mood changes Trouble at work or school, or risky behavior, such as unprotected sex or driving while intoxicated",drugs-com,"breath that smells like alcohol blackouts or seizures enlarged pupils, or eye movements that are faster than normal for you fast heartbeat and slow breaths loss of balance, or no ability to walk straight or stand still nausea and vomiting slurred or loud speech quick mood changes trouble at work or school, or risky behavior, such as unprotected sex or driving while intoxicated",breath smell like alcohol blackout seizure enlarged pupil eye movement fast normal fast heartbeat slow breath loss balance ability walk straight stand nausea vomiting slur loud speech quick mood change trouble work school risky behavior unprotected sex driving intoxicate,"['breath', 'smells', 'alcohol blackouts', 'seizures', 'pupils', 'eye movements', 'fast heartbeat', 'slow breaths', 'loss of balance', 'walk straight', 'nausea', 'vomiting slurred', 'loud', 'speech', 'mood changes', 'work', 'school', 'risky behavior', 'unprotected sex', 'driving', 'intoxicated']"
alcohol use disorder,"Your healthcare provider will ask you about your alcohol use. Mild AUD means you had 2 to 3 of the following over the last 12 months. Moderate means you have 4 to 5. Severe means you have 6 or more. You have tried to decrease or stop drinking more than one time. You continue drinking even after you quit. You have had more to drink than you planned, or you drank for a longer time than you intended. You crave alcohol. You have a desire to drink more often or to drink larger amounts of alcohol. You have a hard time thinking about anything other than alcohol. You put extra effort and time into drinking alcohol. You often go to events or activities that will include drinking. You spend much of your time drinking alcohol or being with people who also drink. You spend less time doing important activities. You have trouble taking part in social or daily activities at school, work, or home. You have given up activities that you like. You drink instead of doing the activities. You also spend a lot of time recovering from the effects of drinking. You continue to drink even though it causes health or relationship problems. You may have problems with your family, friends, or coworkers but continue to drink. You develop alcohol tolerance. Tolerance means the amount of alcohol you usually drink no longer causes the effects you desire. You need to drink more alcohol to get the same effects. You have withdrawal (physical or mental) symptoms after not drinking for a short period. Alcohol is needed to relieve or prevent withdrawal symptoms such as tremors (shakes). You may also have to drink to stop withdrawal symptoms or to cure a hangover. You put yourself in physically dangerous settings while drinking. Examples include driving a car or having unprotected sex after drinking.",drugs-com,"your healthcare provider will ask you about your alcohol use. mild aud means you had 2 to 3 of the following over the last 12 months. moderate means you have 4 to 5. severe means you have 6 or more. you have tried to decrease or stop drinking more than one time. you continue drinking even after you quit. you have had more to drink than you planned, or you drank for a longer time than you intended. you crave alcohol. you have a desire to drink more often or to drink larger amounts of alcohol. you have a hard time thinking about anything other than alcohol. you put extra effort and time into drinking alcohol. you often go to events or activities that will include drinking. you spend much of your time drinking alcohol or being with people who also drink. you spend less time doing important activities. you have trouble taking part in social or daily activities at school, work, or home. you have given up activities that you like. you drink instead of doing the activities. you also spend a lot of time recovering from the effects of drinking. you continue to drink even though it causes health or relationship problems. you may have problems with your family, friends, or coworkers but continue to drink. you develop alcohol tolerance. tolerance means the amount of alcohol you usually drink no longer causes the effects you desire. you need to drink more alcohol to get the same effects. you have withdrawal (physical or mental) symptoms after not drinking for a short period. alcohol is needed to relieve or prevent withdrawal symptoms such as tremors (shakes). you may also have to drink to stop withdrawal symptoms or to cure a hangover. you put yourself in physically dangerous settings while drinking. examples include driving a car or having unprotected sex after drinking.",healthcare provider ask alcohol use mild aud mean 2 3 following 12 month moderate mean 4 5 severe mean 6 try decrease stop drink time continue drink quit drink plan drank long time intend crave alcohol desire drink drink large amount alcohol hard time think alcohol extra effort time drinking alcohol event activity include drinking spend time drinking alcohol people drink spend time important activity trouble take social daily activity school work home give activity like drink instead activity spend lot time recover effect drinking continue drink cause health relationship problem problem family friend coworker continue drink develop alcohol tolerance tolerance mean alcohol usually drink long cause effect desire need drink alcohol effect withdrawal physical mental symptom drink short period alcohol need relieve prevent withdrawal symptom tremor shake drink stop withdrawal symptom cure hangover physically dangerous setting drinking example include drive car have unprotecte sex drinking,"['healthcare provider', 'alcohol use', 'mild', 'months', 'moderate', 'severe', 'decrease', 'stop', 'drinking', 'time', 'drinking', 'quit', 'drink', 'planned', 'longer time', 'intended', 'alcohol', 'desire', 'drink', 'alcohol', 'hard time', 'alcohol', 'time', 'drinking alcohol', 'events', 'activities', 'drinking', 'time drinking alcohol', 'people', 'drink', 'activities', 'social', 'daily activities', 'school', 'work', 'home', 'activities', 'activities', 'effects of', 'drinking', 'drink', 'health', 'relationship', 'problems', 'problems', 'family', 'friends', 'coworkers', 'drink', 'alcohol tolerance', 'tolerance', 'amount', 'alcohol you', 'effects you', 'desire', 'drink', 'effects', 'withdrawal', 'physical', 'symptoms', 'drinking', 'short period', 'alcohol', 'relieve', 'prevent', 'withdrawal symptoms', 'tremors', 'shakes', 'withdrawal symptoms', 'cure', 'hangover', 'physically dangerous', 'drinking', 'car', 'unprotected sex', 'drinking']"
alcohol withdrawal,"The signs and symptoms of alcohol withdrawal normally start 4 to 24 hours after you stop drinking. Signs and symptoms may be mild at first and get worse over 2 to 3 days during the detoxification process. Detoxification means your body is working to remove the alcohol. You may have any of the following: Headaches Fever, sweating, shakiness, and a fast heartbeat Confusion, trouble remembering, or hallucinations Nervousness, anxiety, and agitation Nausea and vomiting Poor sleep, restlessness, or nightmares Seizures 24 hours to 1 week after your last drink",drugs-com,"the signs and symptoms of alcohol withdrawal normally start 4 to 24 hours after you stop drinking. signs and symptoms may be mild at first and get worse over 2 to 3 days during the detoxification process. detoxification means your body is working to remove the alcohol. you may have any of the following: headaches fever, sweating, shakiness, and a fast heartbeat confusion, trouble remembering, or hallucinations nervousness, anxiety, and agitation nausea and vomiting poor sleep, restlessness, or nightmares seizures 24 hours to 1 week after your last drink",sign symptom alcohol withdrawal normally start 4 24 hour stop drinking sign symptom mild bad 2 3 day detoxification process detoxification mean body work remove alcohol following headache fever sweating shakiness fast heartbeat confusion trouble remembering hallucination nervousness anxiety agitation nausea vomiting poor sleep restlessness nightmare seizure 24 hour 1 week drink,"['signs', 'symptoms', 'alcohol withdrawal', 'hours', 'stop', 'drinking', 'signs', 'symptoms', 'mild', 'worse', 'days', 'detoxification process', 'detoxification', 'body', 'alcohol', 'headaches fever', 'sweating', 'shakiness', 'fast heartbeat', 'confusion', 'remembering', 'hallucinations', 'nervousness', 'anxiety', 'agitation nausea', 'vomiting poor sleep', 'restlessness', 'nightmares seizures', 'week', 'drink']"
alcoholic hepatitis,"Yellowing of your skin or the whites of your eyes Dark urine or pale bowel movements Loss of appetite or weight loss without trying Nausea, vomiting, or abdominal pain Swelling in your arms or legs, or fluid retention in your abdomen Fatigue or a fever A fast heartbeat",drugs-com,"yellowing of your skin or the whites of your eyes dark urine or pale bowel movements loss of appetite or weight loss without trying nausea, vomiting, or abdominal pain swelling in your arms or legs, or fluid retention in your abdomen fatigue or a fever a fast heartbeat",yellowing skin white eye dark urine pale bowel movement loss appetite weight loss try nausea vomiting abdominal pain swelling arm leg fluid retention abdomen fatigue fever fast heartbeat,"['yellowing', 'skin', 'whites', 'eyes', 'dark', 'urine', 'pale bowel', 'loss of appetite', 'weight loss', 'nausea', 'vomiting', 'abdominal pain', 'arms', 'legs', 'fluid', 'retention', 'abdomen', 'fatigue', 'fever', 'fast heartbeat']"
allergic esophagitis,Trouble swallowing Throat pain during swallowing Food stuck in the esophagus Heartburn or chest pain,drugs-com,trouble swallowing throat pain during swallowing food stuck in the esophagus heartburn or chest pain,trouble swallow throat pain swallow food stick esophagus heartburn chest pain,"['trouble swallowing throat pain', 'swallowing food', 'esophagus', 'heartburn', 'chest pain']"
allergic rhinitis,"Sneezing, coughing, or clearing your throat often Runny, stuffy, or itchy nose A sore or scratchy throat Red, itchy, watery eyes Severe tiredness Dark circles under your eyes Rash or hives Headache Postnasal drip (nasal drainage down the back of your throat)",drugs-com,"sneezing, coughing, or clearing your throat often runny, stuffy, or itchy nose a sore or scratchy throat red, itchy, watery eyes severe tiredness dark circles under your eyes rash or hives headache postnasal drip (nasal drainage down the back of your throat)",sneeze coughing clear throat runny stuffy itchy nose sore scratchy throat red itchy watery eye severe tiredness dark circle eye rash hive headache postnasal drip nasal drainage throat,"['sneezing', 'coughing', 'clearing', 'throat', 'runny', 'stuffy', 'itchy nose a sore', 'scratchy throat red', 'itchy', 'watery', 'eyes', 'severe', 'tiredness dark circles', 'eyes rash', 'hives', 'headache postnasal drip', 'nasal drainage', 'throat']"
allergic rhinitis in children,"Sneezing or coughing Runny, stuffy, or itchy nose A sore or scratchy throat Red, itchy, watery eyes Severe tiredness Dark circles under your child's eyes Rash or hives Headache",drugs-com,"sneezing or coughing runny, stuffy, or itchy nose a sore or scratchy throat red, itchy, watery eyes severe tiredness dark circles under your child's eyes rash or hives headache",sneeze cough runny stuffy itchy nose sore scratchy throat red itchy watery eye severe tiredness dark circle child eye rash hive headache,"['sneezing', 'coughing runny', 'stuffy', 'itchy nose a sore', 'scratchy throat red', 'itchy', 'watery', 'eyes', 'severe', 'tiredness dark circles', ""child's"", 'eyes rash', 'hives headache']"
allergies,"Mild symptoms include sneezing and a runny, itchy, or stuffy nose. You may also have swollen, watery, or itchy eyes, or skin itching. You may have swelling or pain where an insect bit or stung you. Anaphylaxis symptoms include trouble breathing or swallowing, a rash or hives, or severe swelling. You may also have a cough, wheezing, or feel lightheaded or dizzy. Anaphylaxis is a sudden, life-threatening reaction that needs immediate treatment.",drugs-com,"mild symptoms include sneezing and a runny, itchy, or stuffy nose. you may also have swollen, watery, or itchy eyes, or skin itching. you may have swelling or pain where an insect bit or stung you. anaphylaxis symptoms include trouble breathing or swallowing, a rash or hives, or severe swelling. you may also have a cough, wheezing, or feel lightheaded or dizzy. anaphylaxis is a sudden, life-threatening reaction that needs immediate treatment.",mild symptom include sneeze runny itchy stuffy nose swollen watery itchy eye skin itching swell pain insect bit sting anaphylaxis symptom include trouble breathing swallow rash hive severe swelling cough wheezing feel lightheaded dizzy anaphylaxis sudden life-threatening reaction need immediate treatment,"['mild', 'symptoms', 'sneezing', 'runny', 'itchy', 'stuffy nose', 'swollen', 'watery', 'itchy', 'eyes', 'skin itching', 'swelling', 'pain', 'insect', 'stung', 'anaphylaxis', 'symptoms', 'breathing', 'swallowing', 'rash', 'hives', 'severe', 'swelling', 'cough', 'wheezing', 'dizzy', 'anaphylaxis', 'sudden', 'life-threatening reaction', 'immediate', 'treatment']"
allergies in children,"Mild symptoms include sneezing and a runny, itchy, or stuffy nose. Your child may also have swollen, watery, or itchy eyes, or skin itching. He or she may have swelling or pain where an insect bit or stung him or her. Anaphylaxis symptoms include trouble breathing or swallowing, a rash or hives, or severe swelling. Your child may also have a cough, wheezing, or feel lightheaded or dizzy. Anaphylaxis is a sudden, life-threatening reaction that needs immediate treatment.",drugs-com,"mild symptoms include sneezing and a runny, itchy, or stuffy nose. your child may also have swollen, watery, or itchy eyes, or skin itching. he or she may have swelling or pain where an insect bit or stung him or her. anaphylaxis symptoms include trouble breathing or swallowing, a rash or hives, or severe swelling. your child may also have a cough, wheezing, or feel lightheaded or dizzy. anaphylaxis is a sudden, life-threatening reaction that needs immediate treatment.",mild symptom include sneeze runny itchy stuffy nose child swollen watery itchy eye skin itching swell pain insect bit sting anaphylaxis symptom include trouble breathing swallow rash hive severe swelling child cough wheezing feel lightheaded dizzy anaphylaxis sudden life-threatening reaction need immediate treatment,"['mild', 'symptoms', 'sneezing', 'runny', 'itchy', 'stuffy nose', 'child', 'swollen', 'watery', 'itchy', 'eyes', 'skin itching', 'swelling', 'pain', 'insect', 'stung', 'anaphylaxis', 'symptoms', 'breathing', 'swallowing', 'rash', 'hives', 'severe', 'swelling', 'child', 'cough', 'wheezing', 'dizzy', 'anaphylaxis', 'sudden', 'life-threatening reaction', 'immediate', 'treatment']"
als (amyotrophic lateral sclerosis),"The early symptoms of ALS include muscle weakness, tightness or stiffness, and cramps. These symptoms occur in a leg or arm. Early symptoms may instead include slurred or nasal speech, or difficulty chewing or swallowing. Symptoms worsen and spread to other parts of your body over time. You may also have any of the following: A weak hand grip, dropping things often, or trouble buttoning clothes or writing Tiredness more than usual, dragging one leg, or tripping when you walk Arm or leg jerks while resting Muscle twitching Drooling or trouble breathing",drugs-com,"the early symptoms of als include muscle weakness, tightness or stiffness, and cramps. these symptoms occur in a leg or arm. early symptoms may instead include slurred or nasal speech, or difficulty chewing or swallowing. symptoms worsen and spread to other parts of your body over time. you may also have any of the following: a weak hand grip, dropping things often, or trouble buttoning clothes or writing tiredness more than usual, dragging one leg, or tripping when you walk arm or leg jerks while resting muscle twitching drooling or trouble breathing",early symptom al include muscle weakness tightness stiffness cramp symptom occur leg arm early symptom instead include slur nasal speech difficulty chew swallow symptom worsen spread part body time following weak hand grip drop thing trouble buttoning clothe write tiredness usual drag leg trip walk arm leg jerk rest muscle twitching drooling trouble breathing,"['early symptoms', 'muscle weakness', 'tightness', 'stiffness', 'cramps', 'symptoms', 'leg', 'arm', 'early symptoms', 'slurred', 'nasal speech', 'difficulty chewing', 'swallowing', 'symptoms', 'worsen', 'spread', 'time', 'weak', 'hand grip', 'buttoning clothes', 'writing tiredness', 'usual', 'leg', 'tripping', 'walk arm', 'leg jerks', 'resting muscle twitching drooling']"
altered mental status,"You, or those close to you, will notice changes in how you think and in your awareness, movements, and routines. The following are some of the more common signs: Lack of concentration or forgetfulness Slow responses Hallucinations and changes in sleep patterns Decreased or increased movement Agitation or rambling speech Cannot or will not follow reasonable requests Cannot be aroused from sleep",drugs-com,"you, or those close to you, will notice changes in how you think and in your awareness, movements, and routines. the following are some of the more common signs: lack of concentration or forgetfulness slow responses hallucinations and changes in sleep patterns decreased or increased movement agitation or rambling speech cannot or will not follow reasonable requests cannot be aroused from sleep",close notice change think awareness movement routine following common sign lack concentration forgetfulness slow response hallucination change sleep pattern decrease increase movement agitation rambling speech follow reasonable request arouse sleep,"['awareness', 'movements', 'routines', 'signs', 'lack', 'concentration', 'forgetfulness', 'slow responses', 'hallucinations', 'changes', 'sleep patterns', 'decreased', 'increased', 'movement', 'agitation', 'rambling speech', 'requests', 'sleep']"
alzheimer disease,"Early AD symptoms may be minor and last from 1 to 3 years. Remembering what happened years ago but not what happened yesterday Forgetting the names of common things or people you know Confusion about what month or season it is Forgetting to brush your teeth or comb your hair Trouble taking care of your home or finances or difficulty making decisions Loss of interest in your usual activities Feeling depressed, angry, or confused about the changes you notice",drugs-com,"early ad symptoms may be minor and last from 1 to 3 years. remembering what happened years ago but not what happened yesterday forgetting the names of common things or people you know confusion about what month or season it is forgetting to brush your teeth or comb your hair trouble taking care of your home or finances or difficulty making decisions loss of interest in your usual activities feeling depressed, angry, or confused about the changes you notice",early ad symptom minor 1 3 year remember happen year ago happen yesterday forget name common thing people know confusion month season forget brush tooth comb hair trouble take care home finance difficulty make decision loss interest usual activity feel depressed angry confuse change notice,"['early', 'ad symptoms', 'minor', 'years', 'years', 'forgetting', 'names', 'people', 'confusion', 'month', 'season', 'forgetting', 'brush', 'teeth', 'comb', 'hair', 'trouble taking care', 'home', 'finances', 'difficulty', 'decisions', 'loss', 'activities feeling', 'depressed', 'angry', 'changes']"
amblyopia,"Squinting, covering, or closing one eye Rubbing the eyes Sitting close to screens, or the front of a room Eye that wanders or turns in or out Eyes that are not aligned, or do not move together Poor vision, such as not being able to see objects waved in front of you Tilting your head to one side to see better",drugs-com,"squinting, covering, or closing one eye rubbing the eyes sitting close to screens, or the front of a room eye that wanders or turns in or out eyes that are not aligned, or do not move together poor vision, such as not being able to see objects waved in front of you tilting your head to one side to see better",squinting cover close eye rub eye sit close screen room eye wander turn eye align poor vision able object wave tilt head well,"['squinting', 'eye rubbing', 'eyes sitting', 'screens', 'room eye', 'wanders', 'turns', 'eyes', 'poor vision', 'objects', 'waved', 'tilting']"
amblyopia in children,"Squinting, covering, or closing one eye Rubbing the eyes Sitting close to screens, or the front of a room Eye that wanders or turns in or out Eyes that are not aligned, or do not move together Poor vision, such as your child not being able to see objects waved in front of him or her Seeing your child tilt his or her head to one side to see better",drugs-com,"squinting, covering, or closing one eye rubbing the eyes sitting close to screens, or the front of a room eye that wanders or turns in or out eyes that are not aligned, or do not move together poor vision, such as your child not being able to see objects waved in front of him or her seeing your child tilt his or her head to one side to see better",squinting cover close eye rub eye sit close screen room eye wander turn eye align poor vision child able object wave see child tilt head well,"['squinting', 'eye rubbing', 'eyes sitting', 'screens', 'room eye', 'wanders', 'turns', 'eyes', 'poor vision', 'child', 'objects', 'waved', 'seeing', 'child tilt his', 'head']"
amyloidosis,"You may not have signs or symptoms until the condition is considered advanced. Signs and symptoms may include any of the following: Swollen ankles and legs, or painful joints Severe tiredness and weakness Shortness of breath, especially when you lie flat Numbness, tingling, or pain in your hands or feet Diarrhea, constipation, or weight loss without trying A large tongue or trouble swallowing Bruising easily, or purple patches around your eyes",drugs-com,"you may not have signs or symptoms until the condition is considered advanced. signs and symptoms may include any of the following: swollen ankles and legs, or painful joints severe tiredness and weakness shortness of breath, especially when you lie flat numbness, tingling, or pain in your hands or feet diarrhea, constipation, or weight loss without trying a large tongue or trouble swallowing bruising easily, or purple patches around your eyes",sign symptom condition consider advanced sign symptom include following swollen ankle leg painful joint severe tiredness weakness shortness breath especially lie flat numbness tingling pain hand foot diarrhea constipation weight loss try large tongue trouble swallow bruising easily purple patch eye,"['signs', 'symptoms', 'condition', 'advanced', 'signs', 'symptoms', 'swollen ankles', 'legs', 'painful joints', 'severe', 'tiredness', 'weakness shortness of breath', 'flat numbness', 'tingling', 'pain', 'hands', 'feet diarrhea', 'constipation', 'weight loss', 'tongue', 'swallowing bruising', 'purple patches', 'eyes']"
